date,added,ratings,reviews,to-read
2022-08-16,4,-1,0,2
2022-08-17,7,3,0,2
2022-08-18,1,0,0,0
2022-08-19,1,0,0,0
2022-08-20,2,-1,0,1
2022-08-21,4,1,0,0
2022-08-22,4,1,0,0
2022-08-23,4,4,0,1
2022-08-24,2,0,0,1
2022-08-25,2,0,0,1
2022-08-26,3,0,0,2
2022-08-27,4,3,0,0
2022-08-28,3,0,0,2
2022-08-29,3,-3,0,2
2022-08-30,5,2,0,1
2022-08-31,6,0,0,3
2022-09-01,1,0,0,0
2022-09-02,2,0,0,0
2022-09-03,2,1,0,0
2022-09-04,3,4,1,0
2022-09-05,1,1,0,0
2022-09-06,4,1,0,0
2022-09-07,2,-1,0,0
2022-09-08,2,1,0,2
2022-09-09,2,0,0,1
2022-09-10,1,1,0,0
2022-09-11,2,1,0,0
2022-09-12,5,3,1,3
2022-09-13,4,0,0,3
2022-09-14,0,1,0,0
2022-09-15,1,0,0,1
2022-09-16,3,1,0,0
2022-09-17,3,2,0,1
2022-09-18,6,4,0,0
2022-09-19,2,0,0,1
2022-09-20,0,0,0,0
2022-09-21,1,1,0,0
2022-09-22,0,0,0,0
2022-09-23,1,0,0,0
2022-09-24,3,1,0,1
2022-09-25,3,0,0,1
2022-09-26,2,-1,0,0
2022-09-27,0,-2,0,0
2022-09-28,1,-1,0,1
2022-09-29,3,1,0,0
2022-09-30,0,-1,0,0
2022-10-01,2,1,0,0
2022-10-02,2,0,0,0
2022-10-03,3,1,0,0
2022-10-04,0,1,0,0
2022-10-05,2,1,0,1
2022-10-06,2,1,0,0
2022-10-07,4,1,0,1
2022-10-08,3,1,0,0
2022-10-09,5,3,0,2
2022-10-10,0,0,0,0
2022-10-11,1,1,0,0
2022-10-12,2,1,0,1
2022-10-13,2,-1,0,2
2022-10-14,2,0,0,0
2022-10-15,5,1,0,0
2022-10-16,3,2,0,1
2022-10-17,4,0,0,1
2022-10-18,3,3,0,0
2022-10-19,2,0,0,0
2022-10-20,2,0,0,1
2022-10-21,3,1,0,1
2022-10-22,3,1,0,1
2022-10-23,2,-1,0,0
2022-10-24,7,3,0,2
2022-10-25,5,1,0,2
2022-10-26,3,2,0,0
2022-10-27,1,0,0,0
2022-10-28,6,-1,0,1
2022-10-29,1,2,0,0
2022-10-30,2,0,0,1
2022-10-31,1,0,0,0
2022-11-01,2,1,0,0
2022-11-02,3,2,0,0
2022-11-03,1,0,0,0
2022-11-04,2,0,0,0
2022-11-05,5,2,0,1
2022-11-06,0,0,0,0
2022-11-07,3,0,0,3
2022-11-08,0,0,0,0
2022-11-09,1,-1,0,1
2022-11-10,4,0,0,2
2022-11-11,2,2,0,0
2022-11-12,1,0,0,0
2022-11-13,5,0,0,4
2022-11-14,1,0,0,0
2022-11-15,4,1,0,1
2022-11-16,2,1,0,0
2022-11-17,2,0,0,1
2022-11-18,4,0,0,2
2022-11-19,3,-2,0,2
2022-11-20,8,1,0,3
2022-11-21,2,0,0,1
2022-11-22,2,1,0,0
2022-11-23,4,-2,0,2
2022-11-24,4,2,0,1
2022-11-25,4,1,0,2
2022-11-26,2,0,0,0
2022-11-27,7,2,0,2
2022-11-28,1,1,0,0
2022-11-29,2,0,0,0
2022-11-30,2,0,0,0
2022-12-01,2,2,0,0
2022-12-02,3,1,0,0
2022-12-03,1,1,0,0
2022-12-04,3,0,0,0
2022-12-05,2,0,0,0
2022-12-06,4,1,0,0
2022-12-07,2,1,0,0
2022-12-08,1,1,0,0
2022-12-09,3,1,0,0
2022-12-10,4,2,1,1
2022-12-11,2,2,0,1
2022-12-12,4,1,0,0
2022-12-13,3,2,0,1
2022-12-14,4,1,0,0
2022-12-15,2,1,0,0
2022-12-16,1,2,0,0
2022-12-17,3,-1,0,0
2022-12-18,2,1,0,1
2022-12-19,1,-4,0,1
2022-12-20,2,0,0,0
2022-12-21,3,-1,0,1
2022-12-22,2,-1,0,0
2022-12-23,4,4,0,1
2022-12-24,7,1,0,3
2022-12-25,2,1,0,0
2022-12-26,7,2,0,2
2022-12-27,4,1,0,1
2022-12-28,3,1,0,0
2022-12-29,6,3,0,1
2022-12-30,7,5,0,1
2022-12-31,5,1,0,0
2023-01-01,13,4,0,4
2023-01-02,7,0,0,1
2023-01-03,5,2,0,1
2023-01-04,7,1,0,2
2023-01-05,8,2,0,2
2023-01-06,5,0,0,2
2023-01-07,6,5,0,0
2023-01-08,5,0,0,2
2023-01-09,6,1,0,2
2023-01-10,3,1,0,1
2023-01-11,2,-2,0,1
2023-01-12,3,1,0,0
2023-01-13,5,2,0,1
2023-01-14,1,0,0,0
2023-01-15,8,3,1,2
2023-01-16,4,2,0,0
2023-01-17,3,1,0,0
2023-01-18,2,0,0,0
2023-01-19,2,0,0,0
2023-01-20,3,2,0,1
2023-01-21,4,1,0,2
2023-01-22,6,2,0,2
2023-01-23,4,2,0,2
2023-01-24,4,1,0,0
2023-01-25,4,1,0,0
2023-01-26,6,5,0,0
2023-01-27,1,-2,0,0
2023-01-28,5,0,0,1
2023-01-29,1,1,0,0
2023-01-30,3,2,0,1
2023-01-31,4,2,0,1
