date,added,ratings,reviews,to-read
2022-08-16,0,0,0,0
2022-08-17,1,-1,0,0
2022-08-18,0,0,0,0
2022-08-19,3,-1,1,1
2022-08-20,1,-1,0,1
2022-08-21,0,-1,0,0
2022-08-22,0,0,0,0
2022-08-23,2,-1,0,0
2022-08-24,6,-1,0,6
2022-08-25,4,1,0,2
2022-08-26,4,1,0,1
2022-08-27,5,0,0,2
2022-08-28,3,1,0,1
2022-08-29,3,-1,0,0
2022-08-30,4,4,0,0
2022-08-31,3,1,0,2
2022-09-01,2,1,0,1
2022-09-02,2,0,0,1
2022-09-03,6,3,0,1
2022-09-04,8,2,0,3
2022-09-05,4,1,0,1
2022-09-06,1,2,0,0
2022-09-07,2,1,0,0
2022-09-08,5,3,0,2
2022-09-09,2,1,0,1
2022-09-10,0,0,0,0
2022-09-11,1,3,0,0
2022-09-12,1,1,0,0
2022-09-13,1,1,0,0
2022-09-14,2,1,0,1
2022-09-15,2,2,0,0
2022-09-16,2,1,0,1
2022-09-17,2,4,1,0
2022-09-18,5,0,0,2
2022-09-19,1,0,0,0
2022-09-20,2,1,0,2
2022-09-21,1,0,0,0
2022-09-22,1,2,0,0
2022-09-23,0,0,0,0
2022-09-24,1,0,0,0
2022-09-25,0,0,0,0
2022-09-26,1,1,0,0
2022-09-27,6,1,0,4
2022-09-28,1,-1,0,0
2022-09-29,5,2,1,1
2022-09-30,0,1,0,0
2022-10-01,3,1,0,1
2022-10-02,0,0,0,0
2022-10-03,4,0,0,3
2022-10-04,2,-2,0,0
2022-10-05,1,0,0,0
2022-10-06,3,-1,0,1
2022-10-07,2,0,0,2
2022-10-08,5,0,0,1
2022-10-09,0,0,0,0
2022-10-10,2,1,0,0
2022-10-11,2,1,0,2
2022-10-12,2,1,0,1
2022-10-13,5,0,0,5
2022-10-14,4,1,0,3
2022-10-15,1,1,0,0
2022-10-16,3,0,0,0
2022-10-17,2,1,0,0
2022-10-18,0,0,0,0
2022-10-19,1,1,0,0
2022-10-20,2,1,0,0
2022-10-21,3,0,0,0
2022-10-22,4,2,0,1
2022-10-23,2,1,0,0
2022-10-24,0,1,0,0
2022-10-25,1,0,0,0
2022-10-26,3,1,1,2
2022-10-27,0,1,0,0
2022-10-28,1,0,0,0
2022-10-29,2,-1,0,1
2022-10-30,3,1,0,2
2022-10-31,1,1,0,0
2022-11-01,0,-1,0,0
2022-11-02,3,1,0,1
2022-11-03,4,1,0,2
2022-11-04,0,0,0,0
2022-11-05,2,2,0,0
2022-11-06,4,1,1,0
2022-11-07,3,0,0,2
2022-11-08,3,3,0,1
2022-11-09,2,1,0,0
2022-11-10,3,0,0,1
2022-11-11,1,0,0,0
2022-11-12,6,1,0,0
2022-11-13,2,0,0,0
2022-11-14,1,0,0,0
2022-11-15,1,0,0,1
2022-11-16,2,2,0,0
2022-11-17,1,1,0,0
2022-11-18,2,2,0,1
2022-11-19,3,1,0,2
2022-11-20,2,1,0,1
2022-11-21,1,0,0,0
2022-11-22,1,0,0,1
2022-11-23,2,0,0,0
2022-11-24,3,1,0,2
2022-11-25,2,0,0,0
2022-11-26,3,0,0,1
2022-11-27,3,0,0,2
2022-11-28,1,-1,0,0
2022-11-29,2,1,0,1
2022-11-30,2,2,0,1
2022-12-01,2,0,0,0
2022-12-02,5,1,0,2
2022-12-03,2,2,0,0
2022-12-04,4,2,1,1
2022-12-05,5,1,0,2
2022-12-06,0,0,0,0
2022-12-07,1,1,0,0
2022-12-08,0,0,0,0
2022-12-09,3,1,0,0
2022-12-10,1,0,0,0
2022-12-11,6,0,0,3
2022-12-12,2,1,0,1
2022-12-13,2,-1,0,0
2022-12-14,4,2,0,1
2022-12-15,2,2,0,0
2022-12-16,5,1,0,1
2022-12-17,0,0,0,0
2022-12-18,1,0,0,0
2022-12-19,3,0,0,1
2022-12-20,2,-1,0,2
2022-12-21,1,0,0,0
2022-12-22,0,-1,0,0
2022-12-23,3,1,0,1
2022-12-24,1,3,0,0
2022-12-25,4,-1,0,1
2022-12-26,2,0,0,1
2022-12-27,3,3,0,0
2022-12-28,4,0,0,2
2022-12-29,6,3,0,1
2022-12-30,5,4,0,1
2022-12-31,5,3,0,1
2023-01-01,10,2,0,3
2023-01-02,8,5,0,3
2023-01-03,6,3,0,3
2023-01-04,5,1,0,3
2023-01-05,5,4,0,3
2023-01-06,6,2,0,2
2023-01-07,2,-1,0,1
2023-01-08,3,3,0,1
2023-01-09,4,-1,0,1
2023-01-10,6,1,0,3
2023-01-11,1,2,0,1
2023-01-12,0,-1,0,0
2023-01-13,1,0,0,0
2023-01-14,3,1,0,1
2023-01-15,3,0,0,1
2023-01-16,6,1,0,2
2023-01-17,1,1,0,1
2023-01-18,2,-1,0,2
2023-01-19,1,0,0,0
2023-01-20,2,0,0,1
2023-01-21,2,1,0,1
2023-01-22,2,2,0,0
2023-01-23,2,0,0,1
2023-01-24,5,0,0,2
2023-01-25,4,2,0,0
2023-01-26,4,0,1,0
2023-01-27,2,0,1,2
2023-01-28,4,0,0,2
2023-01-29,4,0,0,1
2023-01-30,1,1,0,0
2023-01-31,4,3,1,2
2023-02-01,1,0,0,1
