date,added,ratings,reviews,to-read
2022-08-16,12,1,0,7
2022-08-17,7,3,0,4
2022-08-18,2,2,0,1
2022-08-19,3,1,0,1
2022-08-20,6,-1,0,4
2022-08-21,8,1,0,2
2022-08-22,8,2,0,3
2022-08-23,9,0,0,5
2022-08-24,5,2,0,2
2022-08-25,2,-1,0,0
2022-08-26,4,-3,-2,2
2022-08-27,9,-1,-1,1
2022-08-28,2,0,0,2
2022-08-29,2,2,0,1
2022-08-30,5,1,0,3
2022-08-31,1,2,0,1
2022-09-01,5,0,0,3
2022-09-02,5,2,1,2
2022-09-03,4,1,0,1
2022-09-04,6,1,0,2
2022-09-05,1,1,1,1
2022-09-06,4,1,1,2
2022-09-07,3,1,1,1
2022-09-08,5,-1,0,2
2022-09-09,6,1,0,3
2022-09-10,7,3,0,2
2022-09-11,5,1,0,3
2022-09-12,4,2,1,1
2022-09-13,4,2,1,3
2022-09-14,2,0,0,1
2022-09-15,3,0,0,1
2022-09-16,2,1,0,0
2022-09-17,1,0,0,0
2022-09-18,3,1,0,1
2022-09-19,4,2,0,3
2022-09-20,1,1,1,1
2022-09-21,3,0,0,2
2022-09-22,0,0,0,0
2022-09-23,3,0,0,2
2022-09-24,2,0,0,1
2022-09-25,3,0,0,2
2022-09-26,5,1,0,2
2022-09-27,5,2,0,1
2022-09-28,1,1,0,0
2022-09-29,5,1,0,2
2022-09-30,5,2,0,2
2022-10-01,5,1,1,2
2022-10-02,3,1,0,0
2022-10-03,1,2,0,0
2022-10-04,2,1,0,0
2022-10-05,2,2,0,0
2022-10-06,4,1,0,2
2022-10-07,1,1,0,0
2022-10-08,3,0,0,1
2022-10-09,5,0,0,1
2022-10-10,3,0,0,2
2022-10-11,4,1,1,3
2022-10-12,4,1,0,3
2022-10-13,2,1,0,1
2022-10-14,3,1,0,2
2022-10-15,1,0,0,1
2022-10-16,5,1,0,1
2022-10-17,5,1,0,2
2022-10-18,6,0,0,2
2022-10-19,4,1,0,2
2022-10-20,4,0,0,2
2022-10-21,5,0,0,2
2022-10-22,3,-1,0,1
2022-10-23,2,1,0,1
2022-10-24,1,0,0,1
2022-10-25,0,0,0,0
2022-10-26,4,0,0,0
2022-10-27,5,1,0,2
2022-10-28,1,0,0,0
2022-10-29,3,0,0,1
2022-10-30,4,1,0,0
2022-10-31,3,2,0,0
2022-11-01,2,1,0,2
2022-11-02,4,1,0,2
2022-11-03,2,1,0,2
2022-11-04,2,2,0,0
2022-11-05,2,0,0,1
2022-11-06,3,0,0,1
2022-11-07,1,0,0,0
2022-11-08,5,2,0,2
2022-11-09,1,1,1,1
2022-11-10,2,0,0,0
2022-11-11,6,0,0,3
2022-11-12,3,1,0,0
2022-11-13,2,0,0,1
2022-11-14,5,1,0,3
2022-11-15,3,1,0,0
2022-11-16,1,1,0,0
2022-11-17,6,2,0,4
2022-11-18,4,0,0,4
2022-11-19,2,2,0,0
2022-11-20,4,1,0,1
2022-11-21,2,1,0,2
2022-11-22,4,0,0,0
2022-11-23,1,0,0,1
2022-11-24,3,0,0,2
2022-11-25,3,0,0,2
2022-11-26,4,-1,0,4
2022-11-27,3,3,0,1
2022-11-28,2,1,0,1
2022-11-29,4,0,0,3
2022-11-30,3,0,0,0
2022-12-01,5,0,0,3
2022-12-02,4,1,0,1
2022-12-03,3,1,0,1
2022-12-04,3,1,0,1
2022-12-05,5,2,0,0
2022-12-06,1,0,0,0
2022-12-07,2,0,0,1
2022-12-08,3,1,0,2
2022-12-09,1,0,0,1
2022-12-10,9,1,0,3
2022-12-11,1,1,0,1
2022-12-12,5,0,0,3
2022-12-13,1,0,0,1
2022-12-14,4,1,1,0
2022-12-15,3,2,0,1
2022-12-16,4,1,0,3
2022-12-17,6,1,0,3
2022-12-18,5,4,1,0
2022-12-19,2,1,0,1
2022-12-20,4,1,0,3
2022-12-21,0,0,0,0
2022-12-22,4,1,0,2
2022-12-23,6,3,0,1
2022-12-24,3,0,0,1
2022-12-25,3,1,1,1
2022-12-26,4,-1,0,4
2022-12-27,6,0,0,4
2022-12-28,13,0,0,8
2022-12-29,1,3,0,1
2022-12-30,6,1,0,3
2022-12-31,6,1,1,3
2023-01-01,7,2,0,2
2023-01-02,10,3,1,2
2023-01-03,3,2,0,2
2023-01-04,7,1,0,3
2023-01-05,5,0,0,3
2023-01-06,3,2,0,1
2023-01-07,7,1,0,3
2023-01-08,4,0,0,2
2023-01-09,0,-1,0,0
2023-01-10,4,0,0,1
2023-01-11,5,0,0,4
2023-01-12,4,2,0,1
2023-01-13,2,1,0,0
2023-01-14,2,1,0,1
2023-01-15,4,2,0,2
2023-01-16,7,2,0,2
2023-01-17,3,1,0,2
2023-01-18,4,1,0,2
2023-01-19,2,1,0,1
2023-01-20,1,0,0,0
2023-01-21,2,1,0,2
2023-01-22,1,1,0,0
2023-01-23,2,2,0,1
2023-01-24,8,1,0,3
2023-01-25,5,2,0,2
2023-01-26,2,1,0,0
2023-01-27,5,1,0,1
2023-01-28,1,0,0,0
2023-01-29,6,2,1,3
2023-01-30,1,0,0,0
2023-01-31,6,2,0,2
2023-02-01,1,0,0,1
