date,added,ratings,reviews,to-read
2022-08-15,3,0,0,2
2022-08-16,2,0,0,2
2022-08-17,1,1,1,0
2022-08-18,3,2,0,0
2022-08-19,3,0,0,0
2022-08-20,2,1,0,0
2022-08-21,4,1,0,2
2022-08-22,3,2,0,0
2022-08-23,4,2,0,2
2022-08-24,3,1,0,2
2022-08-25,5,2,0,1
2022-08-26,2,0,0,1
2022-08-27,2,0,0,1
2022-08-28,1,1,0,0
2022-08-29,2,0,0,1
2022-08-30,3,2,0,3
2022-08-31,0,0,1,0
2022-09-01,4,0,0,0
2022-09-02,1,0,0,1
2022-09-03,4,1,0,2
2022-09-04,4,2,0,1
2022-09-05,2,-1,0,0
2022-09-06,2,0,0,1
2022-09-07,2,1,0,1
2022-09-08,3,2,0,1
2022-09-09,3,1,0,0
2022-09-10,7,1,0,0
2022-09-11,4,0,0,1
2022-09-12,4,0,0,1
2022-09-13,5,1,0,1
2022-09-14,1,0,0,0
2022-09-15,0,0,0,0
2022-09-16,4,1,0,2
2022-09-17,2,2,0,0
2022-09-18,2,2,0,2
2022-09-19,3,0,0,1
2022-09-20,1,1,0,0
2022-09-21,0,0,0,0
2022-09-22,3,1,0,2
2022-09-23,2,0,0,0
2022-09-24,2,0,0,1
2022-09-25,3,2,0,0
2022-09-26,3,1,0,2
2022-09-27,0,1,0,0
2022-09-28,2,1,0,0
2022-09-29,2,2,0,1
2022-09-30,2,1,0,0
2022-10-01,5,3,0,0
2022-10-02,2,3,1,0
2022-10-03,5,1,0,0
2022-10-04,2,1,0,0
2022-10-05,4,2,0,1
2022-10-06,4,0,0,0
2022-10-07,2,-1,0,0
2022-10-08,1,0,0,0
2022-10-09,3,1,0,1
2022-10-10,3,1,0,0
2022-10-11,2,0,0,0
2022-10-12,3,1,0,1
2022-10-13,2,2,0,0
2022-10-14,2,0,0,1
2022-10-15,1,2,0,0
2022-10-16,3,1,0,2
2022-10-17,4,0,0,1
2022-10-18,6,3,0,0
2022-10-19,7,3,0,0
2022-10-20,0,2,0,0
2022-10-21,0,0,0,0
2022-10-22,4,1,0,1
2022-10-23,4,1,0,0
2022-10-24,4,3,0,1
2022-10-25,2,1,0,1
2022-10-26,6,1,0,3
2022-10-27,2,0,0,2
2022-10-28,2,1,0,1
2022-10-29,3,0,0,2
2022-10-30,2,0,0,0
2022-10-31,2,0,0,2
2022-11-01,1,0,0,0
2022-11-02,3,1,0,1
2022-11-03,0,0,0,0
2022-11-04,2,1,0,0
2022-11-05,5,1,0,3
2022-11-06,4,2,0,1
2022-11-07,6,0,0,3
2022-11-08,2,0,0,1
2022-11-09,1,1,0,0
2022-11-10,2,2,0,1
2022-11-11,3,0,0,0
2022-11-12,1,-1,0,1
2022-11-13,4,2,0,0
2022-11-14,4,0,0,1
2022-11-15,1,1,1,0
2022-11-16,3,1,0,1
2022-11-17,0,-1,0,0
2022-11-18,2,0,0,0
2022-11-19,2,1,0,1
2022-11-20,2,1,0,1
2022-11-21,1,0,0,0
2022-11-22,5,1,0,0
2022-11-23,3,1,0,0
2022-11-24,2,1,0,0
2022-11-25,3,1,0,2
2022-11-26,1,0,0,1
2022-11-27,5,3,0,0
2022-11-28,3,1,0,1
2022-11-29,2,1,0,0
2022-11-30,2,2,0,0
2022-12-01,6,1,1,3
2022-12-02,3,1,1,0
2022-12-03,1,1,0,0
2022-12-04,2,0,0,1
2022-12-05,4,1,0,1
2022-12-06,2,1,0,1
2022-12-07,2,-1,0,2
2022-12-08,3,1,0,1
2022-12-09,0,0,0,0
2022-12-10,1,0,0,0
2022-12-11,4,2,0,1
2022-12-12,4,1,0,1
2022-12-13,5,3,0,3
2022-12-14,4,2,0,0
2022-12-15,5,2,0,1
2022-12-16,5,2,0,2
2022-12-17,4,4,0,1
2022-12-18,6,2,1,2
2022-12-19,6,1,1,1
2022-12-20,4,1,0,2
2022-12-21,8,3,0,3
2022-12-22,1,0,0,1
2022-12-23,5,0,0,1
2022-12-24,5,3,0,0
2022-12-25,2,1,0,0
2022-12-26,2,1,0,0
2022-12-27,10,1,0,6
2022-12-28,4,3,0,0
2022-12-29,11,2,0,5
2022-12-30,9,2,0,3
2022-12-31,12,1,0,3
2023-01-01,14,6,0,4
2023-01-02,19,5,0,5
2023-01-03,13,0,0,5
2023-01-04,5,3,0,2
2023-01-05,9,2,0,4
2023-01-06,6,3,0,1
2023-01-07,10,4,0,4
2023-01-08,14,4,0,1
2023-01-09,13,5,1,4
2023-01-10,9,3,0,2
2023-01-11,3,1,0,1
2023-01-12,6,2,0,2
2023-01-13,5,3,0,0
2023-01-14,7,3,0,1
2023-01-15,7,4,1,0
2023-01-16,8,2,1,2
2023-01-17,13,4,0,0
2023-01-18,8,2,1,2
2023-01-19,6,4,1,0
2023-01-20,5,2,0,2
2023-01-21,4,5,0,2
2023-01-22,5,2,0,2
2023-01-23,11,5,1,3
2023-01-24,7,1,0,1
2023-01-25,10,2,0,1
2023-01-26,6,0,0,2
2023-01-27,4,2,0,1
2023-01-28,9,0,0,3
2023-01-29,13,5,0,1
2023-01-30,10,4,0,2
2023-01-31,11,3,1,2
