date,added,ratings,reviews,to-read
2022-08-16,14,2,0,13
2022-08-17,10,3,0,3
2022-08-18,5,7,0,0
2022-08-19,11,6,0,6
2022-08-20,7,5,0,2
2022-08-21,6,3,0,2
2022-08-22,7,5,0,2
2022-08-23,7,3,1,4
2022-08-24,4,2,0,3
2022-08-25,8,5,0,5
2022-08-26,5,-2,0,3
2022-08-27,7,4,0,3
2022-08-28,2,1,0,1
2022-08-29,4,1,0,3
2022-08-30,1,1,0,1
2022-08-31,7,-2,0,5
2022-09-01,2,1,0,1
2022-09-02,2,0,0,2
2022-09-03,5,1,0,1
2022-09-04,2,1,0,1
2022-09-05,3,1,0,2
2022-09-06,2,-3,0,1
2022-09-07,8,0,1,5
2022-09-08,0,1,0,0
2022-09-09,2,0,0,2
2022-09-10,1,0,0,1
2022-09-11,0,0,0,0
2022-09-12,4,2,1,2
2022-09-13,3,0,0,3
2022-09-14,5,1,0,2
2022-09-15,3,0,0,2
2022-09-16,6,3,0,2
2022-09-17,2,2,0,0
2022-09-18,3,0,0,2
2022-09-19,5,2,0,0
2022-09-20,2,2,0,1
2022-09-21,2,0,0,0
2022-09-22,3,-6,0,3
2022-09-23,0,-20,0,0
2022-09-24,2,2,0,1
2022-09-25,3,0,1,1
2022-09-26,2,1,0,1
2022-09-27,3,-1,0,1
2022-09-28,4,-1,0,3
2022-09-29,5,2,0,2
2022-09-30,1,1,0,0
2022-10-01,4,1,0,3
2022-10-02,3,0,0,3
2022-10-03,2,0,0,2
2022-10-04,4,-1,0,3
2022-10-05,1,0,0,0
2022-10-06,3,1,1,1
2022-10-07,4,1,1,2
2022-10-08,3,0,0,3
2022-10-09,40,1,1,35
2022-10-10,40,1,1,34
2022-10-11,17,2,0,13
2022-10-12,7,1,0,4
2022-10-13,7,1,0,6
2022-10-14,7,1,0,5
2022-10-15,5,1,0,3
2022-10-16,5,1,0,4
2022-10-17,6,1,0,4
2022-10-18,5,4,0,2
2022-10-19,7,1,0,4
2022-10-20,5,1,0,2
2022-10-21,4,0,0,2
2022-10-22,7,1,0,6
2022-10-23,13,2,0,7
2022-10-24,3,1,0,1
2022-10-25,2,0,0,2
2022-10-26,4,2,0,3
2022-10-27,1,1,-1,1
2022-10-28,1,0,1,1
2022-10-29,7,1,0,5
2022-10-30,3,2,0,1
2022-10-31,4,1,0,2
2022-11-01,6,0,0,2
2022-11-02,5,0,0,1
2022-11-03,1,3,0,1
2022-11-04,4,0,0,3
2022-11-05,3,1,1,0
2022-11-06,8,2,1,4
2022-11-07,3,4,1,1
2022-11-08,2,0,0,1
2022-11-09,1,1,0,0
2022-11-10,1,1,0,1
2022-11-11,1,0,0,0
2022-11-12,5,1,0,4
2022-11-13,4,2,0,2
2022-11-14,2,0,0,1
2022-11-15,2,2,1,0
2022-11-16,1,0,0,1
2022-11-17,3,0,0,3
2022-11-18,3,0,0,3
2022-11-19,1,1,0,0
2022-11-20,3,1,0,1
2022-11-21,3,1,0,0
2022-11-22,1,0,0,1
2022-11-23,3,1,0,1
2022-11-24,3,2,0,0
2022-11-25,2,0,0,1
2022-11-26,4,2,0,2
2022-11-27,4,4,0,1
2022-11-28,4,1,0,3
2022-11-29,3,1,0,2
2022-11-30,3,1,0,2
2022-12-01,3,0,0,2
2022-12-02,1,1,0,1
2022-12-03,0,0,0,0
2022-12-04,2,0,0,2
2022-12-05,0,0,0,0
2022-12-06,0,0,0,0
2022-12-07,4,1,0,1
2022-12-08,23,2,0,22
2022-12-09,66,1,0,63
2022-12-10,27,2,1,23
2022-12-11,19,2,1,17
2022-12-12,7,0,1,7
2022-12-13,5,0,0,5
2022-12-14,5,1,0,4
2022-12-15,8,2,0,4
2022-12-16,3,1,0,2
2022-12-17,3,1,0,1
2022-12-18,3,2,0,2
2022-12-19,2,0,0,2
2022-12-20,3,1,0,3
2022-12-21,4,1,0,3
2022-12-22,4,1,0,3
2022-12-23,7,0,0,4
2022-12-24,2,0,0,2
2022-12-25,8,1,0,6
2022-12-26,4,2,0,2
2022-12-27,4,1,0,3
2022-12-28,6,2,0,2
2022-12-29,4,0,0,3
2022-12-30,3,1,0,2
2022-12-31,3,1,0,1
2023-01-01,7,1,0,2
2023-01-02,8,2,0,6
2023-01-03,6,2,0,2
2023-01-04,7,1,0,5
2023-01-05,4,1,0,3
2023-01-06,4,0,0,2
2023-01-07,9,0,0,8
2023-01-08,5,2,0,4
2023-01-09,2,0,0,2
2023-01-10,3,1,0,1
2023-01-11,4,0,0,2
2023-01-12,7,1,0,6
2023-01-13,2,1,0,1
2023-01-14,3,0,0,3
2023-01-15,5,2,0,2
2023-01-16,5,2,0,2
2023-01-17,4,3,1,2
2023-01-18,5,1,0,1
2023-01-19,4,1,0,1
2023-01-20,1,2,0,1
2023-01-21,4,1,0,2
2023-01-22,0,1,0,0
2023-01-23,1,0,0,1
2023-01-24,4,1,0,2
2023-01-25,3,0,0,1
2023-01-26,4,2,0,3
2023-01-27,2,1,0,0
2023-01-28,3,3,1,1
2023-01-29,3,2,0,1
2023-01-30,1,1,0,1
2023-01-31,4,3,0,1
2023-02-01,1,2,0,0
