date,added,ratings,reviews,to-read
2022-08-16,3,1,0,1
2022-08-17,3,1,0,2
2022-08-18,4,1,0,4
2022-08-19,3,0,0,3
2022-08-20,7,1,0,5
2022-08-21,4,0,0,3
2022-08-22,4,1,0,1
2022-08-23,2,0,0,0
2022-08-24,4,1,0,2
2022-08-25,6,1,0,5
2022-08-26,5,2,1,2
2022-08-27,3,1,0,2
2022-08-28,8,2,0,2
2022-08-29,11,1,0,5
2022-08-30,4,0,0,2
2022-08-31,6,1,0,2
2022-09-01,4,0,0,4
2022-09-02,4,0,0,3
2022-09-03,1,-1,0,0
2022-09-04,8,1,0,4
2022-09-05,4,3,1,2
2022-09-06,4,0,0,3
2022-09-07,5,-1,0,3
2022-09-08,7,2,1,3
2022-09-09,3,1,0,1
2022-09-10,9,1,0,7
2022-09-11,6,1,0,2
2022-09-12,5,4,0,2
2022-09-13,5,1,0,4
2022-09-14,5,2,0,2
2022-09-15,2,2,0,1
2022-09-16,8,2,1,6
2022-09-17,7,1,0,3
2022-09-18,9,3,0,5
2022-09-19,1,0,0,1
2022-09-20,5,1,0,3
2022-09-21,5,1,0,3
2022-09-22,3,0,0,3
2022-09-23,3,2,0,1
2022-09-24,3,1,0,2
2022-09-25,7,1,0,4
2022-09-26,3,0,0,2
2022-09-27,2,0,0,1
2022-09-28,4,1,0,3
2022-09-29,10,2,2,2
2022-09-30,2,1,0,0
2022-10-01,5,3,0,0
2022-10-02,6,2,0,2
2022-10-03,4,1,0,4
2022-10-04,7,1,0,4
2022-10-05,9,0,0,5
2022-10-06,5,1,0,2
2022-10-07,5,1,1,3
2022-10-08,4,0,1,1
2022-10-09,9,0,0,4
2022-10-10,2,1,0,0
2022-10-11,7,1,0,4
2022-10-12,3,1,0,3
2022-10-13,4,0,0,3
2022-10-14,5,1,1,1
2022-10-15,8,0,1,6
2022-10-16,8,1,0,5
2022-10-17,12,4,1,3
2022-10-18,7,2,0,2
2022-10-19,9,3,2,1
2022-10-20,5,2,0,1
2022-10-21,3,2,0,2
2022-10-22,10,2,1,3
2022-10-23,6,2,1,3
2022-10-24,7,0,0,4
2022-10-25,5,3,0,1
2022-10-26,5,1,0,5
2022-10-27,4,1,0,3
2022-10-28,0,0,0,0
2022-10-29,9,1,0,6
2022-10-30,14,3,0,8
2022-10-31,7,2,0,2
2022-11-01,6,2,1,2
2022-11-02,2,0,0,1
2022-11-03,8,1,0,7
2022-11-04,8,1,0,4
2022-11-05,2,0,0,2
2022-11-06,10,4,1,3
2022-11-07,6,1,0,4
2022-11-08,3,1,0,0
2022-11-09,4,0,0,4
2022-11-10,7,1,0,2
2022-11-11,5,2,0,3
2022-11-12,4,2,0,1
2022-11-13,6,1,0,3
2022-11-14,10,2,0,5
2022-11-15,3,1,1,3
2022-11-16,7,0,0,4
2022-11-17,4,1,0,3
2022-11-18,4,-1,0,4
2022-11-19,4,1,0,3
2022-11-20,4,1,1,3
2022-11-21,6,1,0,5
2022-11-22,6,3,0,3
2022-11-23,9,4,0,4
2022-11-24,6,2,0,1
2022-11-25,5,2,0,3
2022-11-26,3,0,0,2
2022-11-27,8,2,2,5
2022-11-28,2,1,1,0
2022-11-29,4,1,0,1
2022-11-30,3,0,0,1
2022-12-01,5,1,0,2
2022-12-02,3,0,0,2
2022-12-03,2,0,0,1
2022-12-04,4,1,0,3
2022-12-05,3,-1,0,2
2022-12-06,4,2,0,2
2022-12-07,2,0,0,1
2022-12-08,7,1,0,4
2022-12-09,4,1,0,1
2022-12-10,5,0,0,1
2022-12-11,7,3,0,2
2022-12-12,8,3,0,4
2022-12-13,10,1,0,4
2022-12-14,4,1,1,0
2022-12-15,4,1,0,1
2022-12-16,8,0,0,5
2022-12-17,7,2,0,3
2022-12-18,8,1,0,5
2022-12-19,5,1,0,3
2022-12-20,2,1,0,1
2022-12-21,3,1,0,0
2022-12-22,3,2,0,1
2022-12-23,2,1,0,2
2022-12-24,6,2,0,1
2022-12-25,6,0,0,3
2022-12-26,7,1,0,5
2022-12-27,4,1,0,1
2022-12-28,9,1,0,7
2022-12-29,3,5,1,0
2022-12-30,6,1,0,4
2022-12-31,10,1,0,3
2023-01-01,14,3,0,6
2023-01-02,14,7,1,3
2023-01-03,7,1,0,3
2023-01-04,4,2,-1,1
2023-01-05,6,0,0,4
2023-01-06,7,2,1,4
2023-01-07,7,2,1,2
2023-01-08,8,0,0,3
2023-01-09,8,2,0,2
2023-01-10,11,3,0,8
2023-01-11,7,0,0,5
2023-01-12,7,3,0,4
2023-01-13,5,2,1,2
2023-01-14,7,1,0,5
2023-01-15,3,1,0,0
2023-01-16,4,1,0,2
2023-01-17,5,1,1,4
2023-01-18,7,1,0,2
2023-01-19,5,1,0,3
2023-01-20,1,2,0,1
2023-01-21,12,1,1,6
2023-01-22,2,2,0,1
2023-01-23,6,1,0,3
2023-01-24,6,1,0,3
2023-01-25,12,1,0,5
2023-01-26,4,1,0,1
2023-01-27,3,1,0,1
2023-01-28,3,1,0,1
2023-01-29,9,2,0,6
2023-01-30,5,1,0,4
2023-01-31,10,1,0,6
