date,added,ratings,reviews,to-read
2022-08-15,0,-1,0,0
2022-08-16,0,0,0,0
2022-08-17,0,0,0,0
2022-08-18,0,0,0,0
2022-08-19,0,0,0,0
2022-08-20,1,0,0,1
2022-08-21,0,0,0,0
2022-08-22,0,0,0,0
2022-08-23,0,0,0,0
2022-08-24,0,0,0,0
2022-08-25,0,0,0,0
2022-08-26,1,1,0,0
2022-08-27,2,2,0,2
2022-08-28,0,0,0,0
2022-08-29,1,-5,0,1
2022-08-30,0,0,0,0
2022-08-31,0,-2,0,0
2022-09-01,1,0,0,1
2022-09-02,1,0,0,1
2022-09-03,1,0,0,1
2022-09-04,0,0,0,0
2022-09-05,1,0,0,1
2022-09-06,1,-2,0,0
2022-09-07,0,-1,0,0
2022-09-08,4,1,0,1
2022-09-09,1,0,0,0
2022-09-10,1,-1,-1,1
2022-09-11,1,0,0,1
2022-09-12,0,0,0,0
2022-09-13,1,0,0,1
2022-09-14,0,-1,0,0
2022-09-15,2,0,0,1
2022-09-16,0,0,0,0
2022-09-17,1,0,0,1
2022-09-18,2,0,0,1
2022-09-19,0,0,0,0
2022-09-20,1,1,0,0
2022-09-21,1,2,0,0
2022-09-22,1,1,0,0
2022-09-23,2,-6,1,2
2022-09-24,0,0,0,0
2022-09-25,1,0,0,1
2022-09-26,0,-9,0,0
2022-09-27,1,-18,-1,0
2022-09-28,0,-10,0,0
2022-09-29,0,-42,0,0
2022-09-30,0,0,0,0
2022-10-01,1,0,0,0
2022-10-02,1,-6,0,0
2022-10-03,1,-3,0,0
2022-10-04,0,0,0,0
2022-10-05,0,1,0,0
2022-10-06,0,0,0,0
2022-10-07,0,0,0,0
2022-10-08,0,0,0,0
2022-10-09,0,-2,0,0
2022-10-10,1,0,0,1
2022-10-11,1,-1,0,0
2022-10-12,1,-4,1,0
2022-10-13,0,1,0,0
2022-10-14,0,-9,0,0
2022-10-15,2,0,0,1
2022-10-16,0,-34,0,0
2022-10-17,2,-24,0,0
2022-10-18,0,-11,0,0
2022-10-19,1,0,0,0
2022-10-20,0,0,0,0
2022-10-21,1,-8,0,1
2022-10-22,0,-7,0,0
2022-10-23,2,-57,0,2
2022-10-24,2,-47,0,0
2022-10-25,1,-35,0,1
2022-10-26,0,0,0,0
2022-10-27,6,0,0,4
2022-10-28,0,0,0,0
2022-10-29,0,1,0,0
2022-10-30,0,-5,0,0
2022-10-31,1,-14,0,0
2022-11-01,0,0,0,0
2022-11-02,1,1,0,0
2022-11-03,0,-12,0,0
2022-11-04,1,0,0,1
2022-11-05,0,-1,0,0
2022-11-06,0,0,0,0
2022-11-07,0,0,0,0
2022-11-08,0,0,0,0
2022-11-09,1,0,0,1
2022-11-10,0,0,0,0
2022-11-11,0,0,0,0
2022-11-12,0,0,0,0
2022-11-13,0,0,0,0
2022-11-14,0,-1,0,0
2022-11-15,0,0,0,0
2022-11-16,0,0,0,0
2022-11-17,1,1,1,0
2022-11-18,0,0,0,0
2022-11-19,1,1,0,0
2022-11-20,2,0,0,1
2022-11-21,0,0,0,0
2022-11-22,1,1,1,0
2022-11-23,2,0,0,2
2022-11-24,1,1,1,0
2022-11-25,0,0,0,0
2022-11-26,0,0,0,0
2022-11-27,0,0,0,0
2022-11-28,0,0,0,0
2022-11-29,1,0,0,1
2022-11-30,4,0,0,2
2022-12-01,0,0,0,0
2022-12-02,3,2,1,0
2022-12-03,1,1,1,0
2022-12-04,0,0,0,0
2022-12-05,1,1,1,0
2022-12-06,1,0,2,0
2022-12-07,0,0,0,0
2022-12-08,1,-1,0,0
2022-12-09,1,0,0,1
2022-12-10,1,1,1,0
2022-12-11,0,-1,0,0
2022-12-12,0,0,0,0
2022-12-13,0,0,0,0
2022-12-14,0,0,0,0
2022-12-15,0,-1,0,0
2022-12-16,0,0,0,0
2022-12-17,0,0,0,0
2022-12-18,1,0,0,0
2022-12-19,0,0,0,0
2022-12-20,0,0,0,0
2022-12-21,0,0,0,0
2022-12-22,0,0,0,0
2022-12-23,1,0,0,1
2022-12-24,3,3,0,0
2022-12-25,0,0,0,0
2022-12-26,0,0,0,0
2022-12-27,0,0,0,0
2022-12-28,0,0,0,0
2022-12-29,1,1,0,0
2022-12-30,1,1,0,0
2022-12-31,0,-2,0,0
2023-01-01,0,0,0,0
2023-01-02,1,1,0,0
2023-01-03,0,0,0,0
2023-01-04,0,0,0,0
2023-01-05,1,0,0,1
2023-01-06,1,1,0,0
2023-01-07,0,0,0,0
2023-01-08,1,1,0,0
2023-01-09,2,-1,0,2
2023-01-10,1,0,0,0
2023-01-11,3,2,0,0
2023-01-12,3,-22,0,0
2023-01-13,0,-20,0,0
2023-01-14,1,0,0,0
2023-01-15,3,2,0,1
2023-01-16,2,2,0,0
2023-01-17,0,2,0,0
2023-01-18,0,0,0,0
2023-01-19,0,0,0,0
2023-01-20,0,0,0,0
2023-01-21,0,0,0,0
2023-01-22,2,1,1,1
2023-01-23,0,0,0,0
2023-01-24,0,0,0,0
2023-01-25,0,0,0,0
2023-01-26,0,-1,0,0
2023-01-27,1,0,0,1
2023-01-28,1,1,0,0
2023-01-29,0,0,0,0
2023-01-30,0,-1,0,0
2023-01-31,2,0,0,0
