date,added,ratings,reviews,to-read
2022-08-15,3,0,0,0
2022-08-16,3,0,0,1
2022-08-17,4,1,0,3
2022-08-18,3,0,1,1
2022-08-19,4,1,0,1
2022-08-20,3,1,0,0
2022-08-21,6,1,0,2
2022-08-22,1,0,0,1
2022-08-23,1,0,0,1
2022-08-24,1,0,0,0
2022-08-25,0,-1,0,0
2022-08-26,4,1,0,2
2022-08-27,2,2,1,0
2022-08-28,4,2,0,2
2022-08-29,0,1,0,0
2022-08-30,4,-1,0,2
2022-08-31,2,1,0,0
2022-09-01,1,1,0,0
2022-09-02,8,1,0,3
2022-09-03,7,1,0,3
2022-09-04,3,1,0,0
2022-09-05,3,1,0,1
2022-09-06,4,0,0,1
2022-09-07,2,0,0,0
2022-09-08,2,0,0,1
2022-09-09,3,1,0,1
2022-09-10,2,2,0,0
2022-09-11,5,1,0,1
2022-09-12,2,0,0,1
2022-09-13,3,1,0,0
2022-09-14,2,0,0,2
2022-09-15,4,3,1,1
2022-09-16,6,0,0,1
2022-09-17,5,1,0,2
2022-09-18,2,1,0,1
2022-09-19,1,1,0,1
2022-09-20,4,-1,0,1
2022-09-21,0,1,0,0
2022-09-22,1,1,0,0
2022-09-23,9,-5,0,6
2022-09-24,1,1,0,0
2022-09-25,1,2,0,1
2022-09-26,3,-6,0,1
2022-09-27,5,-11,0,0
2022-09-28,5,-14,0,2
2022-09-29,4,-12,0,3
2022-09-30,1,1,0,0
2022-10-01,3,2,0,1
2022-10-02,5,1,0,0
2022-10-03,1,1,0,0
2022-10-04,2,1,0,1
2022-10-05,2,1,0,1
2022-10-06,1,2,0,0
2022-10-07,0,0,0,0
2022-10-08,0,0,0,0
2022-10-09,3,-1,0,1
2022-10-10,6,0,0,2
2022-10-11,1,-1,0,1
2022-10-12,8,3,1,3
2022-10-13,4,1,1,3
2022-10-14,2,1,0,0
2022-10-15,2,2,0,1
2022-10-16,3,1,0,1
2022-10-17,3,1,0,1
2022-10-18,2,4,0,0
2022-10-19,1,-1,0,0
2022-10-20,2,0,0,1
2022-10-21,3,2,0,0
2022-10-22,4,1,0,1
2022-10-23,6,3,0,0
2022-10-24,6,1,0,3
2022-10-25,1,0,0,1
2022-10-26,2,1,0,1
2022-10-27,3,2,0,1
2022-10-28,0,2,0,0
2022-10-29,4,0,0,2
2022-10-30,5,-3,0,0
2022-10-31,8,-2,2,4
2022-11-01,2,1,1,0
2022-11-02,5,1,0,2
2022-11-03,0,0,0,0
2022-11-04,3,1,0,0
2022-11-05,1,0,0,0
2022-11-06,4,1,1,1
2022-11-07,1,-1,1,1
2022-11-08,3,0,0,1
2022-11-09,1,1,0,1
2022-11-10,4,1,0,2
2022-11-11,1,1,0,1
2022-11-12,3,-1,0,2
2022-11-13,7,1,0,4
2022-11-14,1,1,1,0
2022-11-15,1,1,1,0
2022-11-16,4,1,0,1
2022-11-17,7,-1,0,3
2022-11-18,4,2,0,0
2022-11-19,3,2,0,0
2022-11-20,3,1,1,1
2022-11-21,2,0,0,1
2022-11-22,2,1,1,1
2022-11-23,1,1,1,0
2022-11-24,2,0,0,1
2022-11-25,4,2,0,0
2022-11-26,3,1,1,1
2022-11-27,3,2,0,1
2022-11-28,2,0,0,1
2022-11-29,3,0,0,3
2022-11-30,5,2,0,0
2022-12-01,3,0,0,2
2022-12-02,3,2,1,0
2022-12-03,3,3,1,1
2022-12-04,1,0,0,1
2022-12-05,1,1,0,0
2022-12-06,2,1,0,1
2022-12-07,3,1,0,1
2022-12-08,3,2,1,2
2022-12-09,3,2,1,1
2022-12-10,2,0,0,1
2022-12-11,1,0,0,1
2022-12-12,3,1,0,0
2022-12-13,3,0,0,3
2022-12-14,3,2,0,0
2022-12-15,4,1,0,2
2022-12-16,5,1,0,3
2022-12-17,2,1,0,1
2022-12-18,2,1,0,0
2022-12-19,6,1,0,2
2022-12-20,2,0,0,2
2022-12-21,7,1,0,4
2022-12-22,3,0,0,2
2022-12-23,3,1,0,0
2022-12-24,0,0,0,0
2022-12-25,3,0,0,2
2022-12-26,3,1,0,1
2022-12-27,4,4,0,1
2022-12-28,4,1,0,1
2022-12-29,2,1,0,0
2022-12-30,7,1,0,1
2022-12-31,7,3,1,3
2023-01-01,7,2,0,1
2023-01-02,5,0,0,3
2023-01-03,2,-3,0,0
2023-01-04,6,2,0,3
2023-01-05,8,2,0,2
2023-01-06,2,1,-1,1
2023-01-07,3,1,0,0
2023-01-08,3,2,0,0
2023-01-09,7,1,0,3
2023-01-10,3,2,0,2
2023-01-11,2,0,0,1
2023-01-12,3,-5,0,2
2023-01-13,4,-8,0,2
2023-01-14,5,2,0,0
2023-01-15,3,2,0,2
2023-01-16,4,2,0,1
2023-01-17,4,0,0,2
2023-01-18,0,0,0,0
2023-01-19,6,1,0,1
2023-01-20,7,4,0,2
2023-01-21,5,-1,1,2
2023-01-22,5,1,0,1
2023-01-23,8,0,0,1
2023-01-24,2,2,0,0
2023-01-25,5,3,0,1
2023-01-26,4,4,0,0
2023-01-27,3,1,0,1
2023-01-28,7,1,0,1
2023-01-29,4,1,0,2
2023-01-30,8,2,0,2
2023-01-31,6,0,0,3
